label,woonplaats,addressId,straatnaam,huisletter,huisnummer,huisnummer_toevoeging,geo
Laanstraat 89-1 Baarn,Baarn,https://data.kkg.kadaster.nl/id/nummeraanduiding/0308200000012655,Laanstraat,C,89,1,POINT (5.2851071934473 52.211949698716)
Soesterbergsestraat 133-14 Soest,Soest,https://data.kkg.kadaster.nl/id/nummeraanduiding/0342200000025417,Soesterbergsestraat,B,133,14,POINT (5.3043628278114 52.146200689619)
Amsterdamsestraatweg 148-BS Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000002445,Amsterdamsestraatweg,A,148,BS,POINT (5.1036994640102 52.098399184557)
Blauwkapelseweg 31-BS Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000050619,Blauwkapelseweg,A,31,BS,POINT (5.1292486172298 52.09979151307)
Friesestraatweg 16-3a Groningen,Groningen,https://data.kkg.kadaster.nl/id/nummeraanduiding/0014200040359418,Friesestraatweg,,16,3a,POINT (6.548431750992 53.215550522707)
Valeriushof 6-4 Amersfoort,Amersfoort,https://data.kkg.kadaster.nl/id/nummeraanduiding/0307200000468920,Valeriushof,,6,4,POINT (5.4016466566969 52.152267307105)
Nieuwstraat 12-5 Amersfoort,Amersfoort,https://data.kkg.kadaster.nl/id/nummeraanduiding/0307200000526255,Nieuwstraat,,12,5,POINT (5.3919943012222 52.155944125624)
Julianalaan 7-0015 Baarn,Baarn,https://data.kkg.kadaster.nl/id/nummeraanduiding/0308200000010038,Julianalaan,,7,0015,POINT (5.2780680456219 52.206595641084)
Faas Eliaslaan 2-0003 Baarn,Baarn,https://data.kkg.kadaster.nl/id/nummeraanduiding/0308200000010767,Faas Eliaslaan,,2,0003,POINT (5.2968547056201 52.212615368909)
Eemnesserweg 31-G1 Baarn,Baarn,https://data.kkg.kadaster.nl/id/nummeraanduiding/0308200000012180,Eemnesserweg,,31,G1,POINT (5.2871828469182 52.212832281142)
Spoorlaan 3-TR Bilthoven,Bilthoven,https://data.kkg.kadaster.nl/id/nummeraanduiding/0310200000719936,Spoorlaan,,3,TR,POINT (5.2033170376739 52.129142319432)
Sweelincklaan 1-TR Bilthoven,Bilthoven,https://data.kkg.kadaster.nl/id/nummeraanduiding/0310200000720932,Sweelincklaan,,1,TR,POINT (5.2153035252758 52.136847427245)
Maarsseveensevaart 3-1 Maarssen,Maarssen,https://data.kkg.kadaster.nl/id/nummeraanduiding/0333200000016250,Maarsseveensevaart,,3,1,POINT (5.054862711443 52.145485422891)
Lange Jufferstraat 10-BS Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000000414,Lange Jufferstraat,,10,BS,POINT (5.1253677699019 52.093476212847)
Schoutenstraat 5-BS Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000000723,Schoutenstraat,,5,BS,POINT (5.1194923011997 52.092610043996)
